sphtx_account;amount
0x7bfaccb928c10c3657;292.97638
ouanling;797.211134
0xf0095ee49d7b8f1c2b;2992.85
0xac243a4b68488be23d;9.598045
logophilia;32.182341
0xcedce23deace;540.255
actyper;33.028325
kevinseagull;87516.235184
benflex;2500.0
0xbfd83c36d9fd4cf436;1815.7
0xb5a20f9d8dd9543ba0;145.22942
samsamyeah;3306.167715
dale;4445.321996
thirstydreamer;1756.067832
sebaconcon;5519.065278
ilveronico;63.15765
0xb3564e977b2990eabe;999.5
sophiastring;547.791991
test;53.342494
sophiatxtokens;618.6
cawsxtriplsfu;26610.441907
6QNOdhWQ3kSgx3F8COMLP1yMdw8;32.91175
0x81f647f6c532fa4128;3783.801682
0x53fc8271f2ad768078;800.538773
sofalikescakes;13.406603
levyashin;629.020778
maxb2903;35608.312284
wallet;25970.157121
faridsa;1000.25
sophiatxkuba;539.09085
kaandsophia;206.90419
molson;457.459579
0x0ec07259e0cec1a489;118.45
llpg;0.5
0x32b7411932fc089b73;59.5472
aAdqfHx1PZ7mOSS9KPZxVR6QBug;134.718534
0xdc54e681ab6892b784;101.058292
0xed104a5f2b93ed1c02;87.5
garylee;6305.553709
teddydergrosse;1749.80689
corpusdelicti;141.95
alexander;99.512735
0xabd590f2ba2c67375a;49.542415
yabsilboy;3639.281761
sphtxmn;499.011984
0xa26d9fead3fee383b3;270.98208
geezee;10644.176763
0x943febbdddedf1728d;206.333494
0x2f4a91720cccc79cd9;15.9
azn;632.2641
sirdaf;35.0
frankgadea;2501.909075
sphtxwally;236.065477
garyjitters;530.35743
0x0d4b669675af57c8db;221.919744
pfsphtxswap;500.0
coindersphtx;1001.355693
0x7e8ec116a535c08002;58.15
+H9l+UypG+DkgD+xIi4QN4ioFiQ;13.654
0x26724a8f5fb9b50c00;629.565652
shakitano;87.011433
asrogog;5780.074341
wussy;18.125
ctrevos;288990.943906
0x8cdb9c9cb31de778a5;134.036815
0x6ebaa8292823c160d7;31.51702
0xdc93af272bf75e5d70;185.91528
0xa8c690d497ce49fa41;40.141915
zoad;20106.154134
larseelman;14.35
avizar;25.677337
0xb1053587b28c0f13f0;54.193719
ljqlwx2005;1205.0245
0x9cbbef814bdc979bb1;323.9105
romoventura;93292.61309
belushiwushi;537.13023
0x16eab4b3d8ac152b24;26.134522
khazouk;654.791405
esco;2299.855265
2UZEeigGPY4_Q7vBd5Pj-FrgLtU;2983.127531
0xe861d66727db7c3920;268.411621
sophiatxftw;1482.322085
sophiardnldxxzm;588.39346
domingoxsix;175.0
horebez;500.0
antoineyoung;55.47384
