sphtx_account;amount
0x7bfaccb928c10c3657;292.97638
ouanling;797.211134
0xf0095ee49d7b8f1c2b;2992.85
0xac243a4b68488be23d;9.598045
logophilia;32.182341
0xcedce23deace;540.255
actyper;33.028325
kevinseagull;87516.235184
benflex;2500.0
0xbfd83c36d9fd4cf436;1815.7
0xb5a20f9d8dd9543ba0;145.22942
samsamyeah;3306.167715
dale;4445.321996
thirstydreamer;1756.067832
sebaconcon;5519.065278
ilveronico;63.15765
0xb3564e977b2990eabe;999.5
sophiastring;547.791991
test;53.342494
sophiatxtokens;618.6
cawsxtriplsfu;26610.441907
6QNOdhWQ3kSgx3F8COMLP1yMdw8;32.91175
0x81f647f6c532fa4128;3783.801682
0x53fc8271f2ad768078;800.538773
sofalikescakes;13.406603
levyashin;629.020778
maxb2903;35608.312284
wallet;25970.157121
faridsa;1000.25
sophiatxkuba;539.09085
kaandsophia;206.90419
molson;457.459579
0x0ec07259e0cec1a489;118.45
llpg;672.790763
0x32b7411932fc089b73;59.5472
aAdqfHx1PZ7mOSS9KPZxVR6QBug;134.718534
0xdc54e681ab6892b784;101.058292
0xed104a5f2b93ed1c02;87.5
garylee;6305.553709
teddydergrosse;1749.80689
corpusdelicti;141.95
alexander;99.512735
0xabd590f2ba2c67375a;49.542415
yabsilboy;3639.281761
sphtxmn;499.011984
0xa26d9fead3fee383b3;270.98208
geezee;10644.176763
0x943febbdddedf1728d;206.333494
0x2f4a91720cccc79cd9;15.9
azn;632.2641
sirdaf;35.0
frankgadea;2501.909075
sphtxwally;236.065477
garyjitters;530.35743
0x0d4b669675af57c8db;221.919744
pfsphtxswap;500.0
coindersphtx;1001.355693
0x7e8ec116a535c08002;58.15
+H9l+UypG+DkgD+xIi4QN4ioFiQ;13.654
0x26724a8f5fb9b50c00;629.565652
shakitano;87.011433
asrogog;5780.074341
wussy;18.125
ctrevos;288990.943906
0x8cdb9c9cb31de778a5;134.036815
0x6ebaa8292823c160d7;31.51702
0xdc93af272bf75e5d70;185.91528
0xa8c690d497ce49fa41;40.141915
zoad;20106.154134
larseelman;14.35
avizar;25.677337
0xb1053587b28c0f13f0;54.193719
ljqlwx2005;1205.0245
0x9cbbef814bdc979bb1;323.9105
romoventura;93292.61309
belushiwushi;537.13023
0x16eab4b3d8ac152b24;26.134522
khazouk;654.791405
esco;2299.855265
2UZEeigGPY4_Q7vBd5Pj-FrgLtU;2983.127531
0xe861d66727db7c3920;268.411621
sophiatxftw;1482.322085
sophiardnldxxzm;588.39346
domingoxsix;175.0
horebez;500.0
antoineyoung;55.47384
jmE6xN7EFR3ZS5PrTgE_M7fRtqo;107.7725
0x00ec4388d27e0e8e40;3991.563625
0x519e21a4bf3eb67d81;115.499846
0x8d25f564b59eb49173;243.050168
0xee4d542e2ed7fb92d0;1850.0
UiL4G-TwYYtNBCBk7gBX-ZpQb9I;78.158
hisanash;5.0
0xe13b79a32ec1bf1601;280.062885
brasilxyaulofish;1110.366337
tibrah;133.741487
robertkmueller;2989.183321
0xe1898f4e7c193e1533;486.100337
0x4f16e8946a2443bc4e;13.94041
turgturgenev;121.05
strovi;324.644678
0xfb4626ef1235d07605;50.0
0x3ddbee801becf26b8d;37185.2
0x78bb282c3ca3a3d64e;62.847085
0xc37c7f0fa20d4c4079;10000.0
0xf3e8613f15cadc6690;5000.0
0x822e0195e1281cedd7;333.575644
0xb2888de6fffc0860d6;2500.0
0x3375e4e2575a195542;4000.0
0x6a19bc8ff9525684a9;5750.0
0xe9fd2a4ec60514187d;2500.0
kohlwitmer;530.93624
0xc968f33da43f5f60ba;895.56672
0x26008fe3a43d152cf4;12.5
u3500690;2008.59023
sphxwally;36.65
delfseaflshay;231.60968
kristijansphtx;215.736285
rob;78.65
nemo;1250.0
fiex;440.674283
0x21e5b8af5e7b9a4e55;26.5685
0xc4393b6e53badf2166;990.508853
serjusophia;10.0
cranfield;72297.5
0x396ea8683083f6d6b4;22.614382
0xed02d9831a56bfa997;238.432215
sphtxswapabc;827.440084
wolfganghoehl;582.359989
artesophia;457.48493
0x9ddfe61813ecdf6bf5;70.0
cryptogen;487.3
contractsphtxrm;625.672928
contractsphtxsc;54.10918
0x1f115ff300a71b9e6a;55.048433
sophiatxnew;4017.357625
0x6d6ecc96876bcb06fb;626.4
0x0a30b598ee03f8cb80;2721.7997
0xc802f9f8b5c24307b9;237.039407
mgineer;1097.261033
jianxia;7048.454882
sanchan;230.87854
wietskevdw;552.343497
guysophiatx;2152.751456
sphtxjtl;114.706225
ICltaWwUErtDkYCVyR4Lg6KwJSg;629.671362
nessgorsphtx;650.0465
wissy;291.350168
0xe170549b3ae759f638;976.81287
alysianation;150000.0
gisilarhea;1918.529938
teclaboleslav;2799.546601
gordannur;12500.0
kenchung;200.867881
pelssersdavy;8992.85
panna;97.41
sosoph;18.0275
timonio;10.054952
jfarah519;533.041496
sophiatxdavid;762.391541
0x8c679f6a0bdbf702f1;16.357642
0x465b1ca433630fbecf;113.5
0x9a28b3e23f10ed0140;330.0
0x481ac7ebbad3c827ac;314.65258
0x1a989ae02dd9a39101;6688.78055
0x9f3faae50652d5a70e;1096.35
newshptx;632.0
idahosk;39697.705966
0xbbb3b5011347c64b3d;549.25
frenchmedium;249.599835
0x0a2278692568548a46;2054.7
AfdTm1P0BjqedbMXY28paXYvZfo;713.628385
sphtxcontract;15821.129318
mades;1049.946348
frank;20.2
0x6d2a01956074a1c5c4;1205.6735
scottchesley;149.632885
seanb;38.95
matts;0.888979
bbruijnsophiatx;150.0
myantonsophiatx;56.489188
youngsandwich;162.34951
0x1ca5a1b01264d9cd1e;13462.237128
0x605c376002b4300de4;400.0
0x159d6cb8cd42df8ca9;65.0
sammiebreeden;155000.0
0x1eea537b3cc42db38a;913.734529
0x9cb6247bf9e22da514;117.261165
0x125045d69207e1f825;210.6
karsten;143.299372
0x25ff2e40e75a7263c1;149.822536
0x2239f113e611d3081c;1.0
0x31dcb3e1e8d5f732d3;999.999977
fairyspeer;160000.0
kire;639.509979
0x2462e24574ec847105;2403.399231
davo;2000.0
tomaskucera;137.323345
0xa291d8a5108f72fd3d;123.8
panda;3961.946894
0xb49511f372f8f76307;40.65
macandes;1250.0
0x324f1ece068828347e;54.78213
0xfb8de55bab1a97da65;364.575252
0x0952bcb4b35cbcfcd0;79.638086
hhassko;2707.982609
0x08cd39c4a04156a658;827.04157
cryptostratego;1548.5
