sphtx_account;amount
srisophiatxlit;20653.963461
aleaco;32.115798
cryptodavysphtx;277.425395
0x09d25353150d86b78c;710.624749
0x27ffaed18b237f5b91;1825.792251
thucungcuatoi;90.390547
0x69da159d0021f899d5;844.85101
mapescmai;1594.15
swan;2764.04042
georgi;3500.10795
akvAl4hkGyzin66rQnlVCcXn/sI;96.8634
0x30940e443c86d3f315;600.907585
0xf5d3670c433e5c9d57;69.092716
0x5d9fc7678b7a312a06;486.329303
jayjie;878.074795
aryalpaw;259.199938
kristerrumi;200.867881
keramkicvel;2365.905638
KyWewhHLZGY5D1BdeqMYH9czoEI;10.2706
0xe7a71da491f685a472;140.4225
0x11b04f31785c117159;5038.1
0x6dbf3b3730235108fb;255.0
hisanash;1679.257226
0x016d43bede7d91eb69;275.15
janhajktx;1036.760926
0x6c771f2c6b3153f8af;499.5
0x4c4f206a5dc8b00d26;16.65
0x8bbcae3e2fbad85c06;2227.786689
aursof;107.181381
0xef75e5c5f38ef1f508;196.25
0xa634866e0481d908e4;500.0
0x147813fd2a13e29349;301.4
timsophiatx;500.4
0xa0b0a8ef935c7d34c9;840.005752
jalex;385.617259
